,Artist,Style
157,The Bears,Alternative Pop/Rock
158,The Bears,Alternative/Indie Rock
159,The Bears,Power Pop
160,Sara Hickman,Alt-Country
161,Sara Hickman,Alternative/Indie Rock
162,Sara Hickman,Contemporary Folk
163,Sara Hickman,Country-Folk
164,Sara Hickman,Folk-Pop
165,Between the Buried and Me,Heavy Metal
166,Between the Buried and Me,Metalcore
167,Between the Buried and Me,Alternative/Indie Rock
168,Between the Buried and Me,Death Metal
169,Between the Buried and Me,Progressive Metal
170,The 4-Squares,Hardcore Punk
171,The 4-Squares,Punk/New Wave
172,Tony Levin,Avant-Garde Jazz
173,Tony Levin,Prog-Rock
174,Tony Levin,Free Jazz
175,ProjeKct Two,?
176,Larry Levan,Club/Dance
177,Larry Levan,Disco
178,Larry Levan,Garage
179,Larry Levan,House
180,Larry Levan,Post-Disco
181,Joe Cocker,Blues-Rock
182,Joe Cocker,Contemporary Pop/Rock
183,Joe Cocker,Soft Rock
184,Joe Cocker,Adult Contemporary
185,Joe Cocker,AM Pop
186,Jean-Michel Jarre,Progressive Electronic
187,Jean-Michel Jarre,Adult Alternative
188,Jean-Michel Jarre,Experimental Electronic
189,Jean-Michel Jarre,Mixed Media
190,Jean-Michel Jarre,Club/Dance
191,Jean-Michel Jarre,Ambient
192,Jean-Michel Jarre,Trance
193,Ol' Dirty Bastard,East Coast Rap
194,Ol' Dirty Bastard,Hardcore Rap
195,Man on Fire,Prog-Rock
196,Man on Fire,Contemporary Pop/Rock
197,Fission Trip,Prog-Rock
198,Porcupine Tree,Art Rock
199,Porcupine Tree,Experimental
200,Porcupine Tree,Experimental Rock
201,Porcupine Tree,Neo-Prog
202,Porcupine Tree,Alternative/Indie Rock
203,Porcupine Tree,Ambient
204,Porcupine Tree,Post-Rock
205,Jaguares,Rock en Español
206,Jaguares,Alternative Pop/Rock
207,Jaguares,Alternative/Indie Rock
208,Jaguares,Latin Pop
209,Saul Zonana,Alternative/Indie Rock
210,Saul Zonana,Indie Rock
211,Patti Smith,New York Punk
212,Patti Smith,Punk/New Wave
213,Patti Smith,Album Rock
214,Patti Smith,Hard Rock
215,Patti Smith,Alternative Singer/Songwriter
216,Culture,Political Reggae
217,Culture,Roots Reggae
218,Vitamin String Quartet,Chamber Music
219,Vitamin String Quartet,Classical Crossover
220,Training for Utopia,Alternative CCM
221,Training for Utopia,Alternative Pop/Rock
222,Training for Utopia,Alternative/Indie Rock
223,Training for Utopia,Contemporary Christian
224,Training for Utopia,Heavy Metal
225,Frank Jordan,Blues Gospel
226,Frank Jordan,Pre-War Country Blues
227,Frank Jordan,Adult Alternative Pop/Rock
228,Frank Jordan,Alternative/Indie Rock
229,Frank Jordan,Emo
230,Frank Jordan,Singer/Songwriter
231,William Shatner,Celebrity
232,William Shatner,Comedy
233,William Shatner,Novelty
234,William Shatner,Music Comedy
235,William Shatner,Fantasy
236,William Shatner,Spoken Word
237,Rachel Z,Crossover Jazz
238,Rachel Z,Post-Bop
239,Nusound,Contemporary Instrumental
240,Nusound,Relaxation
241,The Honorary Title,Alternative/Indie Rock
242,The Honorary Title,Indie Rock
243,The Honorary Title,Alternative Pop/Rock
244,Harmonica Shah,Modern Electric Blues
245,Harmonica Shah,Electric Harmonica Blues
246,Geoff Downes / John Wetton,Progressive Electronic
247,Geoff Downes / John Wetton,Art Rock
248,Geoff Downes / John Wetton,Prog-Rock
249,Ryuichi Sakamoto,Experimental
250,Ryuichi Sakamoto,Progressive Electronic
251,Ryuichi Sakamoto,Original Score
252,Ryuichi Sakamoto,International Fusion
253,Ryuichi Sakamoto,Synth Pop
254,Ryuichi Sakamoto,Experimental Ambient
255,Ryuichi Sakamoto,Experimental Electro
256,Ryuichi Sakamoto,Experimental Electronic
257,Ryuichi Sakamoto,Glitch
258,Townes Van Zandt,Americana
259,Townes Van Zandt,Contemporary Folk
260,Townes Van Zandt,Country-Rock
261,Townes Van Zandt,Progressive Country
262,Townes Van Zandt,Singer/Songwriter
263,Pretty Mighty Mighty,Alternative Pop/Rock
264,Pretty Mighty Mighty,Alternative/Indie Rock
265,Reaching Forward,Alternative/Indie Rock
266,Reaching Forward,Punk Revival
267,Reaching Forward,Punk/New Wave
268,Reaching Forward,Straight-Edge
269,The X-ecutioners,Turntablism
270,The X-ecutioners,Underground Rap
271,Jamie deRoy,?
272,Tori Amos,Adult Alternative Pop/Rock
273,Tori Amos,Alternative/Indie Rock
274,Tori Amos,Alternative Pop/Rock
275,Tori Amos,Contemporary Singer/Songwriter
276,Kevin Max,CCM
277,Kevin Max,Contemporary Christian
278,Kevin Max,Christian Rock
279,Kevin Max,Gospel
280,dc Talk,Alternative CCM
281,dc Talk,Contemporary Christian
282,dc Talk,CCM
283,dc Talk,Gospel
284,dc Talk,Adult Alternative Pop/Rock
285,dc Talk,Alternative/Indie Rock
286,dc Talk,Christian Rap
287,Erick Sermon,East Coast Rap
288,Erick Sermon,Hardcore Rap
289,Les Claypool,Funk Metal
290,Les Claypool,Heavy Metal
291,Les Claypool,Alternative Pop/Rock
292,Les Claypool,Alternative/Indie Rock
293,Les Claypool,Bluegrass
294,Les Claypool,Progressive Bluegrass
295,JT Money,Southern Rap
296,JT Money,Gangsta Rap
297,JT Money,Dirty Rap
298,Rick Altizer,Christian Rock
299,Rick Altizer,Contemporary Christian
300,Rick Altizer,CCM
301,Tim Bowness,?
302,Laurie Anderson,Experimental
303,Laurie Anderson,Mixed Media
304,Laurie Anderson,Alternative/Indie Rock
305,Laurie Anderson,Experimental Rock
306,Béla Fleck & the Flecktones,?
307,California Guitar Trio,Instrumental Rock
308,California Guitar Trio,New Acoustic
309,California Guitar Trio,Avant-Prog
310,California Guitar Trio,Prog-Rock
311,California Guitar Trio,Modern Electric Blues
312,R. Stevie Moore,Alternative/Indie Rock
313,R. Stevie Moore,Experimental Rock
314,R. Stevie Moore,Lo-Fi
315,R. Stevie Moore,Obscuro
316,R. Stevie Moore,Power Pop
317,R. Stevie Moore,Indie Rock
318,R. Stevie Moore,Neo-Psychedelia
319,Freddy Gardner,British Dance Bands
320,Freddy Gardner,Chamber Music
321,Freddy Gardner,Dance Bands
322,Freddy Gardner,Swing
323,Freddy Gardner,Big Band
324,Freddy Gardner,Dixieland
325,The Countdown Singers,Contemporary Pop/Rock
326,Discipline,Art Rock
327,Discipline,Prog-Rock
328,Nicola Sirkis,?
329,Joan Armatrading,Folk-Pop
330,Joan Armatrading,Singer/Songwriter
331,Joan Armatrading,Adult Alternative Pop/Rock
332,The Irresponsibles,?
333,ProjeKct Four,?
334,2Pac / Outlawz,Gangsta Rap
335,2Pac / Outlawz,G-Funk
336,2Pac / Outlawz,Hardcore Rap
